,string,mean,max,min,median,geo_mean,count,n_over_2e-06,ratio_over_2e-06,n_over_4e-06,ratio_over_4e-06,n_over_6e-06,ratio_over_6e-06,n_over_8e-06,ratio_over_8e-06,n_over_9.999999999999999e-06,ratio_over_9.999999999999999e-06,n_over_1.1999999999999999e-05,ratio_over_1.1999999999999999e-05,n_over_1.4e-05,ratio_over_1.4e-05,n_over_1.6e-05,ratio_over_1.6e-05,n_over_1.8e-05,ratio_over_1.8e-05,n_over_2e-05,ratio_over_2e-05
0,<|endoftext|>,1.263238755200291e-05,1.263238755200291e-05,1.263238755200291e-05,1.263238755200291e-05,1.2632387552002883e-05,80000,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,0,0.0,0,0.0,0,0.0,0,0.0
1147,It,3.969172218027374e-06,0.00023431905719917268,2.915901742284177e-09,2.218786903540604e-06,2.383115218210273e-06,3755,1939,0.5163781624500666,883,0.2351531291611185,267,0.0711051930758988,168,0.04474034620505992,131,0.03488681757656458,111,0.029560585885486018,96,0.025565912117177098,85,0.022636484687083888,75,0.019973368841544607,68,0.018109187749667112
310, is,5.429565370734049e-06,0.0003109759418293834,-2.2373027909472487e-12,3.5812784062727587e-06,,73740,48829,0.66217792243016,25943,0.35181719555193924,12874,0.1745863845945213,7081,0.09602657987523731,4595,0.062313534038513696,3227,0.04376186601573095,2479,0.03361811771087605,2004,0.027176566314076486,1699,0.023040412259289395,1481,0.020084079197179278
2218, done,6.013100486736844e-06,0.0005252135451883078,5.8302894956341333e-08,4.118471679248614e-06,4.255031011557446e-06,1296,1084,0.8364197530864198,622,0.4799382716049383,311,0.23996913580246915,166,0.12808641975308643,94,0.07253086419753087,56,0.043209876543209874,35,0.02700617283950617,29,0.022376543209876542,21,0.016203703703703703,15,0.011574074074074073
13,",",6.5958194333194095e-06,0.000729886582121253,2.7234321568758713e-12,4.417832769831875e-06,3.7571259307376283e-06,309939,208932,0.674106840378268,136742,0.4411900406208964,78104,0.2519979737948435,47445,0.15307850899693165,31353,0.10115861508232266,22477,0.07252072181945479,16993,0.05482691755474464,13479,0.04348920271408245,11064,0.035697346897292696,9195,0.029667128047777144
285, and,9.059932830682291e-06,0.0005589892971329391,1.7118844319527482e-12,5.790453087684e-06,5.464311964487741e-06,156779,108601,0.6927011908482641,85916,0.5480070672730404,54631,0.3484586583662353,34050,0.21718469948143565,22829,0.14561261393426417,16486,0.10515438929958731,12708,0.08105677418531819,10255,0.06541054605527526,8523,0.05436314812570561,7228,0.04610311329961283
15,.,7.4321190894982685e-06,0.002300944644957781,-3.473768364972707e-12,2.5159440610877937e-06,,351420,177327,0.5046013317397985,102335,0.2912042570143987,73561,0.2093250241875818,57711,0.16422229810483183,47164,0.13420977747424734,39234,0.1116441864435718,33131,0.09427750270331797,28311,0.0805617210175858,24765,0.07047123100563428,21819,0.06208809970974902
1422, You,4.92101100238024e-06,0.00023171136854216456,2.700525393584119e-11,2.0634535076169414e-06,4.957248103946972e-07,5263,2464,0.46817404522135664,1303,0.24757742732281968,880,0.16720501615048453,629,0.11951358540756223,471,0.08949268478054341,363,0.06897206916207486,283,0.05377161314839445,222,0.04218126543796314,185,0.03515105453163595,165,0.03135094052821585
476, can,6.396769098325797e-06,0.0004120124503970146,5.327442931246651e-10,4.3450775137898745e-06,3.3094106222479204e-06,18185,13314,0.7321418751718449,8826,0.4853450646136926,5162,0.28386032444322246,3150,0.1732196865548529,2142,0.11778938685729998,1517,0.0834204014297498,1129,0.06208413527632664,879,0.04833654110530657,717,0.03942810008248557,576,0.03167445697003025
1132, play,6.623556639264141e-06,9.838019468588755e-05,2.505656127027578e-09,4.93475499752094e-06,5.073866011975575e-06,1878,1478,0.7870074547390842,1033,0.5500532481363152,598,0.3184238551650692,370,0.19701810436634717,258,0.13738019169329074,164,0.08732694355697551,107,0.056975505857294995,81,0.04313099041533546,57,0.03035143769968051,43,0.022896698615548456
