,r,p
0,-0.0013075577,0.0924505
1,0.012479251,0.0
2,-0.0024367112,0.0017148256
3,0.0028115015,0.00029683113
4,-0.01799462,0.0
5,0.00017564188,0.8211843
6,-0.0053596273,0.0
7,7.427639e-05,0.92385304
8,-0.0005196259,0.50370455
9,0.0052268137,0.0
10,0.011004664,0.0
11,0.0073832544,0.0
12,-0.0022908477,0.003198862
13,-0.003852565,7.1525574e-07
14,-0.004073413,2.3841858e-07
15,0.01700546,0.0
16,0.0017981315,0.020673156
17,0.0033981153,1.21593475e-05
18,-0.0057216687,0.0
19,-0.0017022812,0.028483868
20,0.012374959,0.0
21,0.0029348894,0.00015890598
22,0.0063532013,0.0
23,-0.00075654086,0.33028364
24,-0.0015066655,0.052522182
25,0.010141827,0.0
26,0.0044540167,0.0
27,0.0031709264,4.4941902e-05
28,0.0019722227,0.011151075
29,0.009769835,0.0
30,0.0025211598,0.001177311
31,-0.015512295,0.0
32,0.0059218463,0.0
33,-0.000764231,0.32539153
34,0.0012564447,0.10591364
35,-0.00528635,0.0
36,0.0070863343,0.0
37,0.008742906,0.0
38,-0.0036780965,2.1457672e-06
39,-0.00064747065,0.40473914
40,-0.0015306113,0.048879266
41,0.013759298,0.0
42,0.00033200518,0.6692078
43,-0.007900483,0.0
44,-0.008571316,0.0
45,-0.00020189205,0.7950169
46,0.0086236615,0.0
47,-0.006459723,0.0
48,0.0024294765,0.0017700195
49,0.0031928,3.9815903e-05
50,-0.0013338844,0.086072445
51,-0.012002004,0.0
52,0.00021147575,0.7855189
53,0.0033091404,2.0503998e-05
54,-0.0028861985,0.00020384789
55,-0.011988569,0.0
56,-0.008792196,0.0
57,-0.0035003335,6.67572e-06
58,0.0011373358,0.14331329
59,-0.004203472,0.0
60,0.0022502926,0.0037825108
61,-0.001951081,0.012048483
62,0.008652465,0.0
63,0.0028061564,0.00030493736
64,-0.0037156728,1.66893e-06
65,-0.010165067,0.0
66,0.0050578993,0.0
67,0.0014189262,0.067861795
68,0.0010443543,0.17897713
69,0.0029496108,0.00014734268
70,-0.006310816,0.0
71,0.03200354,0.0
72,0.0066180937,0.0
73,0.037572477,0.0
74,0.00018093547,0.8158903
75,-0.0045890342,0.0
76,0.010556953,0.0
77,-0.0026310727,0.0007097721
78,-0.0040503764,2.3841858e-07
79,0.0022087416,0.00447917
80,0.000723933,0.35155284
81,-0.00058686803,0.45012784
82,0.016574226,0.0
83,-0.0014159089,0.06844866
84,0.0007611544,0.327343
85,-0.0036150434,3.2186508e-06
86,0.035189535,0.0
87,-0.0013299572,0.08700073
88,0.0013194692,0.08951926
89,0.010870224,0.0
90,0.005930988,0.0
91,0.003382628,1.335144e-05
92,0.02113039,0.0
93,0.0021243636,0.006262541
94,0.0039156647,4.7683716e-07
95,-0.0038392514,7.1525574e-07
96,0.0018722541,0.01598382
97,-0.00097023783,0.21183515
98,-0.0004172304,0.5913323
99,-0.005132563,0.0
100,-0.01159291,0.0
101,-0.0045736674,0.0
102,0.003214341,3.528595e-05
103,0.006152755,0.0
104,-0.0058002947,0.0
105,0.002858957,0.00023412704
106,0.0067435834,0.0
107,0.000569536,0.46362042
108,-0.0022062475,0.0045244694
109,-0.002406698,0.001954794
110,0.00012677813,0.87040627
111,-0.004891378,0.0
112,0.007822,0.0
113,0.006228921,0.0
114,0.0012634096,0.10399246
115,-0.001481733,0.056553602
116,0.0016504428,0.033682823
117,-0.0072954646,0.0
118,-0.003190008,4.053116e-05
119,0.0003112473,0.6887709
120,0.0017497694,0.024343252
121,-0.0015598321,0.04472339
122,-0.0052694143,0.0
123,0.00267188,0.00058555603
124,0.0043105776,0.0
125,-0.0025923282,0.00085020065
126,0.002530228,0.0011299849
127,0.0036062119,3.4570694e-06
128,0.0011516364,0.1383493
129,0.002537226,0.0010946989
130,0.0032550022,2.8133392e-05
131,0.0058661588,0.0
132,-0.0021438908,0.005800724
133,0.0019775934,0.010932922
134,-0.00228068,0.0033369064
135,0.004994762,0.0
136,0.0028623166,0.00023019314
137,0.00075679156,0.33012342
138,-0.004005547,2.3841858e-07
139,0.0022851399,0.003275752
140,0.0035198908,5.841255e-06
141,-0.007562673,0.0
142,-0.006064809,0.0
143,0.019419577,0.0
144,-0.0052852063,0.0
145,0.003962848,3.5762787e-07
146,0.0033403272,1.7166138e-05
147,-0.0018194598,0.019214272
148,0.007013027,0.0
149,-0.011303503,0.0
150,-0.0007527274,0.3327272
151,0.0028995352,0.00019049644
152,-0.0068434547,0.0
153,-0.0075099417,0.0
154,-0.008742764,0.0
155,-0.001335091,0.085788965
156,0.0020223137,0.009257793
157,0.002501213,0.0012880564
158,0.005631189,0.0
159,0.002167973,0.0052735806
160,0.002004018,0.009913206
161,-0.0067931153,0.0
162,0.00372643,1.5497208e-06
163,-0.0012543717,0.10649085
164,0.009179813,0.0
165,0.01875069,0.0
166,-0.0042680614,1.1920929e-07
167,-0.016693363,0.0
168,-0.0007318456,0.34631348
169,-0.0019882717,0.010509968
170,-0.0028923696,0.000197649
171,-0.0011717167,0.13160431
172,-0.00055112,0.47820044
173,0.000400691,0.6061177
174,-0.003750845,1.4305115e-06
175,-0.0020757637,0.0075588226
176,-5.7182868e-05,0.9413407
177,-0.0043015038,1.1920929e-07
178,0.0043310337,1.1920929e-07
179,0.0049320078,0.0
180,-0.004244944,2.3841858e-07
181,0.0016246589,0.036557674
182,0.0037350368,1.4305115e-06
183,-0.0002762999,0.7221761
184,-0.0066407206,0.0
185,0.001134342,0.1443696
186,-0.009574044,0.0
187,-0.016842356,0.0
188,0.02317191,0.0
189,0.002600766,0.0008175373
190,0.0017909412,0.021186352
191,-0.0035667175,4.4107437e-06
192,-0.008785894,0.0
193,0.007726224,0.0
194,0.0016205839,0.037030697
195,0.00043547055,0.5752214
196,-0.0018216725,0.019068241
197,0.008523998,0.0
198,0.0007813107,0.31469584
199,-0.004077439,2.3841858e-07
200,-0.005219433,0.0
201,0.0011541178,0.13750172
202,0.006447753,0.0
203,0.0012279039,0.11408198
204,-0.0029676121,0.00013399124
205,-0.008867944,0.0
206,-0.00044344188,0.56824636
207,0.00450321,0.0
208,-0.026540501,0.0
209,-0.0003359471,0.66551745
210,0.003340747,1.7166138e-05
211,-0.019048918,0.0
212,0.011234917,0.0
213,0.009999889,0.0
214,-0.0075337584,0.0
215,0.007475876,0.0
216,0.0063934387,0.0
217,0.007015284,0.0
218,-0.0023925768,0.0020780563
219,0.0011513593,0.1384443
220,0.011595529,0.0
221,0.017199663,0.0
222,-0.0027058937,0.0004976988
223,-0.0036657464,2.3841858e-06
224,0.0050627454,0.0
