,r,p
0,0.002570008,0.00094234943
1,-0.002962899,0.00013744831
2,0.0029115826,0.00017917156
3,0.014891891,0.0
4,0.008421854,0.0
5,-0.0015486887,0.0462718
6,0.008129674,0.0
7,0.0016170703,0.037442684
8,0.011806179,0.0
9,-0.004368041,0.0
10,-0.010683508,0.0
11,0.0031218214,5.888939e-05
12,-0.005056815,0.0
13,0.008269298,0.0
14,0.005541118,0.0
15,0.0018498207,0.017293096
16,0.000116670126,0.88065803
17,-0.0034234521,1.04904175e-05
18,-0.0073222215,0.0
19,-0.0057132747,0.0
20,0.0017301751,0.025984049
21,-0.0025105563,0.0012350082
22,0.00095832394,0.21749973
23,0.0030675658,7.891655e-05
24,-0.0024203511,0.001842022
25,0.009173285,0.0
26,0.0037480025,1.3113022e-06
27,-0.000759044,0.328686
28,-0.0021949618,0.004734516
29,-0.0011332607,0.1447525
30,-0.00078746374,0.31089997
31,-0.0025239368,0.0011626482
32,-0.019398792,0.0
33,-0.0028134887,0.0002939701
34,-0.006837625,0.0
35,-0.0030089272,0.000108003616
36,0.0007384026,0.34200978
37,-0.0002875424,0.7113681
38,-0.0017963141,0.020801783
39,-0.003738198,1.4305115e-06
40,0.008633775,0.0
41,-0.008938294,0.0
42,0.0062420233,0.0
43,-0.006050032,0.0
44,-0.00080308487,0.30139935
45,0.0068128956,0.0
46,0.0038713429,7.1525574e-07
47,-0.005668751,0.0
48,0.00093817175,0.22732759
49,0.003798642,9.536743e-07
50,0.009072563,0.0
51,-0.0019258223,0.013204098
52,-0.0026902338,0.0005364418
53,2.2850474e-05,0.97654176
54,0.0038851644,7.1525574e-07
55,-0.020397156,0.0
56,0.0021112591,0.006590724
57,0.0034798083,7.5101852e-06
58,0.00085211504,0.27284646
59,0.022908393,0.0
60,-0.002307897,0.0029790401
61,0.0010282985,0.18575227
62,-0.012234356,0.0
63,0.002222769,0.00423193
64,-0.002495755,0.0013198853
65,0.000718672,0.35506392
66,-0.003642854,2.6226044e-06
67,0.002468312,0.0014916658
68,-0.030378783,0.0
69,0.004134107,1.1920929e-07
70,-0.0041869474,2.3841858e-07
71,0.0032258993,3.3140182e-05
72,-0.0005058135,0.5151124
73,0.0060434393,0.0
74,0.0061525363,0.0
75,0.0029023408,0.00018787384
76,0.0010810763,0.16417503
77,-0.0007777428,0.31691098
78,0.00011665741,0.8806709
79,0.0039433436,4.7683716e-07
80,0.0026899616,0.00053715706
81,0.0029972785,0.00011467934
82,-0.0033695293,1.4543533e-05
83,0.049629424,0.0
84,-0.00063404616,0.4145503
85,0.0016055028,0.038826704
86,-0.0018298327,0.018537998
87,8.474863e-05,0.913157
88,-0.0037996215,9.536743e-07
89,-0.0014263324,0.06643832
90,-0.0013803142,0.075693846
91,-0.007482823,0.0
92,-0.010507308,0.0
93,0.008157456,0.0
94,-0.0003620004,0.64133394
95,-0.0023694115,0.0022957325
96,-0.004751383,0.0
97,-0.006284731,0.0
98,0.00041643708,0.5920377
99,0.024617407,0.0
100,0.018181946,0.0
101,0.01669032,0.0
102,0.017240325,0.0
103,0.0010465331,0.17807198
104,0.00049878965,0.5209644
105,-0.0022039078,0.0045673847
106,-0.011370897,0.0
107,0.009390572,0.0
108,0.003832822,7.1525574e-07
109,0.0027703692,0.00036382675
110,-0.0007264802,0.3498608
111,-0.0005698678,0.46336007
112,-0.0034576643,8.583069e-06
113,0.014400054,0.0
114,0.02099219,0.0
115,0.0013300577,0.086976886
116,-0.009565257,0.0
117,-0.002194178,0.0047495365
118,0.008953408,0.0
119,-0.00557017,0.0
120,0.0060408995,0.0
121,0.0031517746,4.9948692e-05
122,0.0057442756,0.0
123,0.0037472923,1.4305115e-06
124,0.0054470645,0.0
125,0.0022397814,0.0039486885
126,-0.0021301836,0.006121516
127,-0.003295219,2.2292137e-05
128,0.0107870065,0.0
129,-0.0021478941,0.0057100058
130,0.006113337,0.0
131,0.002411902,0.0019110441
132,0.024455179,0.0
133,0.0016906566,0.029585361
134,0.021541048,0.0
135,-0.0036468906,2.6226044e-06
136,0.011257583,0.0
137,0.0012387381,0.11092472
138,0.00010667399,0.890816
139,0.0012617756,0.10444069
140,0.0025527705,0.0010198355
141,0.0035357522,5.364418e-06
142,-0.0022760457,0.0034017563
143,-0.0027352932,0.00043177605
144,0.0018336494,0.018294334
145,-0.0027828913,0.00034213066
146,-0.002518992,0.0011889935
147,-0.0017790719,0.022057652
148,0.005964934,0.0
149,0.0021608127,0.0054256916
150,0.004455943,0.0
151,0.016604993,0.0
